"date" "polarity" "state" "text"
"26" 2019-01-07 0.2 "TX" "Ready to drink my Christmas wine during #thebachelor tonight 😭😍"
"27" 2019-01-07 -0.0416666666666667 "OH" "So excited that my guilty pleasure is back on tonight @bachelorabc 😍😍"
"28" 2019-01-07 0.6 "KY" "so ready for #thebachelor and good food !! @wandavan1 @KatiVanOrder 🌹"
"29" 2019-01-07 0 "SC" "@thebachelorabc is back tonight 🤩🥳🥰"
"30" 2019-01-07 0.46875 "MA" "So excited for @colton’s journey tonight! #thebachelor"
"31" 2019-01-07 0.1875 "DC" "As a committed live-tweeter of #thebachelor, I’m excited it is back tonight, but where’s the body diversity? When w… https://t.co/GlkmuAZrw8"
"32" 2019-01-08 0 "AL" "For you #TheBachelor fans, there’s a girl from Alabama on the show. Her name is Hannah Brown and I spoke with her l… https://t.co/XmS7BzWLAr"
"33" 2019-01-08 0.3125 "TX" "The first virgin bachelor?! Umm hello did everyone forget about @SeanLowe09 
#thebachelorpremiere #TheBachelor"
"34" 2019-01-08 0.75 "NY" "Will you accept this rose?
Recipe for Nutella Apple Roses @ https://t.co/aC8BcFbMid TONIGHT!
#thebachelor… https://t.co/r2TK9SK56z"
"35" 2019-01-08 0.25 "NC" "@mere_620 I just love following #thebachelor for the catty feed!  🌹"
"36" 2019-01-08 0 "CA" "Theme: virginity #thebachelor"
"37" 2019-01-08 0 "CA" "Here to watch the journey not viewing parties #thebachelor"
"38" 2019-01-08 0 "IL" "Still laughing at all the commentary friends and I exchanged last night during the premier of #thebachelor 🤣. Who e… https://t.co/lk8sWGAYgi"
"39" 2019-01-08 -1 "AR" "Catherine is the worst #thebachelorpremier"
"40" 2019-01-08 0 "NY" "Colton watching Sloth Girl’s entrance. #thebachelor https://t.co/OhLPjbIhCa"
"41" 2019-01-08 0.2 "CA" "There’s TOO MUCH of viewing parties being showed #thebachelor I’m here to see the journey"
"42" 2019-01-08 0.25 "CA" "He looks mortified every time a girl brings up his virginity why anyone thought it’d be funny to do so is beyond me. #thebachelor"
"43" 2019-01-08 0 "GA" "we stan onyeka in this house #thebachelor"
"44" 2019-01-08 0 "TX" "catherine from #thebachelor following colton around the mansion to interrupt like https://t.co/gjN2Paf0uw"
"45" 2019-01-08 0.318181818181818 "GA" "smh I guess I better start watching this new season of #thebachelor 

🙄🙄🙄 sigh"
"46" 2019-01-08 -0.0333333333333333 "GA" "every season they be like “THIS IS THE MOST DRAMATIC SEASON IN BACHELOR HISTORY”

and every time it’s the same ol’ shit. 
#thebachelor"
"47" 2019-01-08 0.416666666666667 "GA" "lol the nigerian girl won’t make it past episode 4. she’s too good for colton tbh. #thebachelor"
"48" 2019-01-08 0 "GA" "colton is gonna choose a blonde in the end.  

🙄🙄🙄🙄
probably. #thebachelor"
"49" 2019-01-08 0.55625 "GA" "lol why is that the thing she mentioned first when introducing herself?! 😂😂😂😂 #thebachelor"
"50" 2019-01-08 0 "GA" "these montages of colton working out are so basic. #thebachelor"
"51" 2019-01-08 0 "GA" "colton,
I thought it was an apple too. 
#thebachelor"
"52" 2019-01-08 0 "GA" "ew someone came as a sloth
gross
#thebachelor"
"53" 2019-01-08 0 "GA" "lol the girl with the obvious plastic surgery who made colton babysit her dog 😂😂 I hate everyone. #thebachelor"
"54" 2019-01-08 0 "GA" "I like the blonde with the big ass head 

the one colton took three deep breaths with
#thebachelor"
"55" 2019-01-08 -0.0625 "GA" "plastic surgery girl is mad that the other women are being creative with their time with colton. she basic. #thebachelor"
"56" 2019-01-08 -0.8 "GA" "of course sloth girl is annoying #thebachelor"
"57" 2019-01-08 0 "VA" "Colton has the personality of a saltine #thebachelorpremier"
"58" 2019-01-08 0 "VA" "Demi- “I have not dated a virgin since I was 12” 
Colton- “oh boy” 

This is going well #thebachelor"
"59" 2019-01-08 0 "MD" "@RosetoRejection @thebachelorabc He's from Wales"
"60" 2019-01-08 0 "FL" "@madamspeaker Cassie Randolph."
"61" 2019-01-08 0.4 "GA" "LOL PLASTIC SURGERY GIRL’S NAME IS CATHERINE

BASIC AFFFFF #thebachelor"
"62" 2019-01-08 0.345454545454545 "SC" "Thanks for 2 hrs of bs fillers and live junk this was actually a good quality scene that was cut why? #thebachelor"
"63" 2019-01-08 0 "KS" "Sloth girl has gotta go #thebachelorpremiere"
"64" 2019-01-09 -0.00959595959595962 "CA" "@debbyryan &amp; @RobBenedict join us today to break down the premiere episode of @bachelorabc ona BRAND NEW EPISODE of… https://t.co/xWdS877cxC"
"65" 2019-01-09 0 "AL" "@James_Twits @colton Hannah Godwin!"
"66" 2019-01-09 0.6 "CA" "I am honestly so PUMPED for this season of #thebachelor"
"67" 2019-01-09 0 "CO" "Does anyone else think Hannah G low key looks like she can be Colton’s cousin? 🤣🤣 @TheBachelorTV #thebachelor"
"68" 2019-01-09 0 "MA" "Please get @alexdillon60 a one way ticket to Paradise, yesterday. #TheBachelor #Titletown https://t.co/PQTGWzQHup"
"69" 2019-01-09 0 "HI" "Finally took @laureneburnham on a proper @bachelorabc helicopter date. With a stop for sparkling cider of course!
.… https://t.co/VTIeuru25K"
"70" 2019-01-10 0.6 "CO" "I'm barely catching up with #thebachelor at work and I don't have the volume all the way up but I don't think that'… https://t.co/oLIeQmhhwD"
"71" 2019-01-10 0 "CA" "Hi! I wrote a comedy song tribute to the Sloth Girl ( @alexdillon60 ) from #TheBachelor . For Sloth Girl fans every… https://t.co/iTu2vMO8gN"
"72" 2019-01-10 0.3 "OK" "RT to ruin a girls day.

Cassie Randolph gets the final rose."
"73" 2019-01-10 0.3 "OK" "RT to ruin a girls day.

     Cassie Randolph wins."
"74" 2019-01-10 0.2 "CA" "@Sling I’m bailing if you don’t offer #abc immediately..... my girlfriend wants to watch #thebachelor and I want a… https://t.co/UWIdGPnbEc"
"75" 2019-01-10 0 "UT" "I emotionally connect with sloth girl on #thebachelor"
"76" 2019-01-11 0 "FL" "When you finally get WiFi after two weeks 🙌🏻 gotta catch up #thebachelor https://t.co/BCTMTfrn0H"
"77" 2019-01-11 0.35 "CA" "My partners in wine.. 🍷 {insert @chaosofkyra} Had a good time finally watching the @bachelorabc premiere. Who’s gon… https://t.co/jA6Td8UkkX"
"78" 2019-01-12 0 "SD" "Cassie Randolph gets the final 🌹"
"79" 2019-01-13 0 "CA" "so what's your ethnicity @SydneyLotuaco"
"80" 2019-01-13 0.5 "CA" "@SydneyLotuaco just seen u on the Bachelor, u r definitely my favorite 🔥"
"81" 2019-01-13 0.425 "FL" "Omg that tribute to @chrisbharrison was beautiful 😭 I’d totally want him to officiate my wedding #goals #thebachelorpremiere"
"82" 2019-01-14 -0.5 "TX" "The fact I’m going to miss #thebachelor tonight makes me so sad. 😢"
"83" 2019-01-14 0 "CA" "#bachelor #mondays #canisteelyouforasec #thebachelor #tvtime #lilacb #3dogs #mondayfunnight #begintheweekright… https://t.co/ftLScZyQYP"
"84" 2019-01-15 0.5 "CA" "@caelynnmk I was thinking more of Vanessa Lachey"
"85" 2019-01-15 0.2 "LA" "there is so much i wanna say about #thebachelor but i don’t remember any of the girls’ names yet 😂"
"86" 2019-01-15 0.266666666666667 "LA" "the whole virginity thing is getting old, girls let it GO. colton has so much more to offer than his virginity. #thebachelor"
"87" 2019-01-15 0.1 "LA" "the girls’ ages are really showing this season and it’s only episode 2 💆🏾‍♀️🤦🏾‍♀️ #thebachelor"
"88" 2019-01-15 -0.02 "LA" "tracy is sooo annoying. you sound the most childish for complaining about the same thing over and over again. #thebachelor"
"89" 2019-01-15 -0.55 "LA" "i hate to be rude but tracy is wasting her time. no way is she making it to the end. #thebachelor"
"90" 2019-01-15 0.125 "CA" "Did Heather get her first kiss yet? Everything that happened last night on #TheBachelor @bachelorabc season 23 epis… https://t.co/aXPpvx63TO"
"91" 2019-01-15 0 "TX" "I forgot the #thebachelor was on yesterday 😭😭"
"92" 2019-01-15 0 "TX" "Alex B. Is or was a man #thebachelor"
"93" 2019-01-15 -1.85037170770859e-17 "LA" "i’m extremely annoyed that colton gave hannah the rose. he’s like “okaying” their mediocrity. #thebachelor"
"94" 2019-01-15 0.2 "TN" "Watching @bachelorabc with my boy who apparently is very opinionated concerning the choices of coltonunderwood… https://t.co/xZQmRrYt4f"
"95" 2019-01-15 0 "VA" "@EmmaWatson @womensaid #thebachelor https://t.co/vVPC77DPhy"
"96" 2019-01-15 0 "NC" "You’re telling me The Bachelor took this girl on a dinner date on the Queen Mary?!?! Do they know it’s haunted?? #thebachelor"
"97" 2019-01-16 0 "MD" "@newstouse @CassieRandolph Trade ya. https://t.co/VVqpJNxrDO"
"98" 2019-01-16 0.5 "MD" "@newstouse @CassieRandolph Yes...everything is more tolerable when I have flip flops on...I love wearing them in the rain."
"99" 2019-01-17 0.136363636363636 "NC" "new podcast 🎧 ep 2 #thebachelor #bachelornation https://t.co/XzxbKWKuV4 https://t.co/UoF8RGNoW0"
"100" 2019-01-18 0 "TX" "@demi_burnett @allyyySOONNN 🤣🤣🤣 I can’t deal with you boneega"
"101" 2019-01-19 0.208333333333333 "LA" "I’m 1:45 into the first episode of #thebachelor and a ton of things are bothering me, but mainly the fact that some… https://t.co/znI2CpwtQL"
"102" 2019-01-20 0.8 "TN" "Great jam... can’t wait to watch her sing it on the Bachelor tomrw...
.
.
.
#tenillearts #thebachelor #myjam… https://t.co/n1FaugyGKh"
"103" 2019-01-20 0 "NY" "@TahzjuanHawkins wassup?"
"104" 2019-01-20 0.65 "OH" "If @demi_burnett doesn't win this season of the Bachelor, all of my faith in love is gone. 😍😂 #loveher #getitgirl"
"105" 2019-01-21 0 "TX" "Tonights episode of The Bachelor presents:
Pageant Battle Royale  
#TheBachelor 
@caelynnmk @hannahkbrown11 @colton https://t.co/7J6Rr2jKv2"
"106" 2019-01-21 0 "TX" "@demi_burnett Send the girl an autograph 🤪"
"107" 2019-01-21 0 "IL" "“Does she not have parents?!” 😂😂 these girls kill me. #thebachelor"
"108" 2019-01-22 0 "TX" "@demi_burnett queen"
"109" 2019-01-22 0 "IA" "@ Hannah B #thebachelor https://t.co/ahhgO3eOhj"
"110" 2019-01-22 0.35 "CA" "Work SLEEP balance in full effect. #tuesdaymeetings #diftt🥂 #latenightwatchingthebachelor #teamcaelynn… https://t.co/gEmXpTwRMz"
"111" 2019-01-22 0.5 "VA" "Our principals in @cpschools are the best ever! A big THANK YOU to Jeff Johnson, Craig Mills. Heather Martin, Jimmy… https://t.co/2nvn9UNGXx"
"112" 2019-01-22 0 "GA" "@colton you have RUINED my fantasy team!! Why’d you have to do me like that?! #bachelorabc #bachbetches… https://t.co/oJTeMPaLiV"
"113" 2019-01-22 0 "TX" "@KirpaSudick is the prettiest girl on the bachelor don’t @ me"
"114" 2019-01-22 -0.166666666666667 "TX" "@demi_burnett Lmfaoooooooooooo they don’t know you team black don’t crack"
"115" 2019-01-22 0.8 "ID" "if @CassieRandolph doesn’t win the bachelor I will be pissed"
"116" 2019-01-23 0 "GA" "@demi_burnett Tell them to put some respect on your name"
"117" 2019-01-23 0.5 "MD" "Completely in love w Demi Burnett 💘💘💘💘💘💝😍"
"118" 2019-01-23 0.5 "FL" "@demi_burnett Girl, I love you."
"119" 2019-01-23 0 "TX" "@demi_burnett @damollaaa @swaggyheks1 lmaooooo"
"120" 2019-01-23 0.25 "IL" "@ShauniBird @demi_burnett Tommy Lauren is the girl with the tv show and piping hot takes and stances. Gun girl is d… https://t.co/UsVX0O0fHA"
"121" 2019-01-23 0.4 "IL" "@ShauniBird @demi_burnett CONFIRMED: Demi does look like gun girl"
"122" 2019-01-23 0.25 "MD" "@demi_burnett is a funny ass bitch omfg"
"123" 2019-01-23 0.3 "PA" "@demi_burnett I don’t watch this dumbass show but I hope she wins"
"124" 2019-01-23 0 "NC" "@machsahl @melll_b12 @demi_burnett 🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️ yuck"
"125" 2019-01-23 0.5 "OK" "I kinda love @demi_burnett and I can’t explain it."
"126" 2019-01-23 0 "OH" "if @demi_burnett isnt the next bachelorette IM NOT WATCHING"
"127" 2019-01-23 0 "CA" "@demi_burnett @Ninaaharrison LMFAOOOO"
"128" 2019-01-23 0 "IN" "@demi_burnett don’t watch but now i’m going to"
"129" 2019-01-23 0.8 "TX" "@demi_burnett keep being great dem dem. born for this life 😂"
"130" 2019-01-23 0.6 "TX" "@demi_burnett Ur my fav forget them lmao"
"131" 2019-01-23 0 "NY" "@TomDurante @BachelorABC @demi_burnett @TomiLahren @MarisaDellatto @nypost They look nothing alike."
"132" 2019-01-23 -0.15 "CA" "I fucking love @demi_burnett she cracks me tf up and people hate on her for nothing."
"133" 2019-01-23 0 "NY" "@demi_burnett WE GOING ✈️ MURDER???"
"134" 2019-01-23 -0.05 "NY" "i guess i should watch the bachelor this season since my love @demi_burnett is on it and I KNOW her ass is bein crazy"
"135" 2019-01-23 0 "FL" "Look who’s on my flight to Texas this morning! @jordan__kimball from #thebachelor 🌹 @ Tampa International Airport https://t.co/j3D2Kf92zC"
"136" 2019-01-23 0.0111111111111111 "NY" "So I’m super late but is #chrisharrison’s mom the same age as him??? #thebachelor"
"137" 2019-01-23 0 "TX" "Check out my two cents on this weeks episode of #thebachelor 
https://t.co/2gvLCjp7tv
@kayyteee_ @ampincivero… https://t.co/cFShYbEg9q"
"138" 2019-01-23 0 "MD" "When me and @demi_burnett get married🥰🙈 &gt;&gt;&gt;&gt;&gt;"
"139" 2019-01-23 0 "OR" "@demi_burnett Come on!  Who wouldn’t want to be an 83% match to Toni Lauren?

🤣🤣🤣"
"140" 2019-01-23 0 "OR" "@demi_burnett Come on!  Who wouldn’t want to be an 83% match to Toni Lahren?

🤣🤣🤣"
"141" 2019-01-23 0.05 "OR" "@demi_burnett Come on!  Who wouldn’t want to be an 83% match to Tomi Lahren?

🤣🤣🤣

As long as you’re not a vapid tr… https://t.co/fIU2SIEdH8"
"142" 2019-01-23 0.4 "RI" "@demi_burnett @JohnGreb4 - OMG Greb.  Turn towards the light."
"143" 2019-01-23 0 "NV" "@demi_burnett @TeeMani_ https://t.co/0GASKMzUwn"
"144" 2019-01-23 0 "AZ" "@demi_burnett Is the only reason I watch the bachelor now. 
No one likes her cause she has the confidence, hair, an… https://t.co/umeADtUte2"
"145" 2019-01-23 0 "CA" "@demi_burnett @FreshJo7 Lmaoooooo"
"146" 2019-01-23 1 "AZ" "I wanna be friends with @demi_burnett 

She’s perfect."
"147" 2019-01-23 0.65 "CA" "I love @demi_burnett I hope you win sis 💕"
"148" 2019-01-23 0 "IN" "@micaela_ayye read her bio, it’s so demi 😂😂 @demi_burnett"
"149" 2019-01-23 0 "CA" "@SydneyLotuaco hi you are a queen! Thank you for the Asian representation on #TheBachelor idk if I wanna root for y… https://t.co/X2hjCOxmuI"
"150" 2019-01-23 0.285714285714286 "IL" "@demi_burnett @ShauniBird I don’t get it...who’s the girl on the right?"
"151" 2019-01-23 -0.8 "TX" "@demi_burnett You’re annoying af"
"152" 2019-01-23 0.344444444444444 "IN" "Following @demi_burnett on all social media platforms is the best decision I have made 😂🙌🏻"
"153" 2019-01-23 -0.2 "TX" "if @demi_burnett doesn't end up marrying colton in the end i may have to go ape shit"
"154" 2019-01-23 0 "NY" "@demi_burnett https://t.co/JYcz3eUFVX"
"155" 2019-01-23 -0.75 "TX" "@A9ER @demi_burnett She said y’all got her fucked up! https://t.co/9kpeFEW9y0"
"156" 2019-01-23 0 "MA" "@caelynnmk Diabolical move, but... https://t.co/fomEWANQPE"
"157" 2019-01-23 0 "OK" "@BETTAYYYY @valpalnicole @demi_burnett She’s the Alpha 💯"
"158" 2019-01-23 0.5 "TX" "@demi_burnett My favorite part 😂😂😂😭😭😭"
"159" 2019-01-23 0.333333333333333 "FL" "@demi_burnett Not even close! Demi is way better looking. My bet she is a way better human being too 🌸"
"160" 2019-01-23 -0.25 "OH" "@demi_burnett @morganbsachs I’m crying!  😂"
"161" 2019-01-24 0 "CA" "@demi_burnett Demi&gt;&gt;&gt;Corrine"
"162" 2019-01-24 0.269444444444444 "AZ" "@skumdad @colton @demi_burnett I Stan Demi so hard ok lmao"
"163" 2019-01-24 0 "CA" "@demi_burnett Make him your date to it please"
"164" 2019-01-24 0 "TX" "which beauty queen do we believe? #thebachelor"
"165" 2019-01-24 0.5 "TX" "also, I love Demi #thebachelor"
"166" 2019-01-24 0 "FL" "@demi_burnett @MRierieg @benihana123"
"167" 2019-01-24 0 "CA" "@DJ_Texas19 @demi_burnett Tomi’s racist and ignorant, though."
"168" 2019-01-24 0.0208333333333333 "TX" "I’ve only been on my social media to see @demi_burnett tweets! 🥰 #SavageQueen"
"169" 2019-01-24 0.73828125 "AZ" "@colton @demi_burnett prettiest, carefree, and most lovable!!!"
"170" 2019-01-24 0.5 "NV" "@demi_burnett Ok me @_valentinalv"
"171" 2019-01-24 0 "CA" "@demi_burnett @Kellybakess"
"172" 2019-01-24 0 "CA" "@DJ_Texas19 @demi_burnett Mommy’s a republican and hates her too bud ☺️"
"173" 2019-01-25 0.625 "AL" "@demi_burnett Better be invited Boo ! https://t.co/CAkqbak4we"
"174" 2019-01-25 0 "LA" "Watching @colton with kids is making my heart melt. Where can I find a man like that?! 🌹 #thebachelor"
"175" 2019-01-26 0.616666666666667 "CA" "Happy anniversary to these two @clmgiudici + @SeanLowe09 Five years strong. 🌹🥂💍 #thebachelor https://t.co/6LWfBGCfLe"
"176" 2019-01-26 0 "GA" "#drking #steph #klay #thebachelor #illini #caturday #miaminightlife #superbowl53 #atlantanightlife #atlantalife… https://t.co/hdCQrLMvkI"
"177" 2019-01-26 0 "CA" "bri_ashbarnes for #ss19 @ Los Angeles, California https://t.co/D9VAOAheO2"
"178" 2019-01-26 0.325 "SC" "So true #thebachelor #bachelorabc #bachelorgirlsnight #girlsnight #thebachelorette #fun #friends #wine #winequeen… https://t.co/rKdzH3nV7u"
"179" 2019-01-26 1 "MA" "Best part of today is sharing a bday with @colton and @TheEllenShow ✌🏻 #thebachelor https://t.co/1kjiommN2q"
"180" 2019-01-27 0.6 "CA" "I’m just going to be honest about this. When you have to do work on a Sunday, catching up on @thebachelorabc as bac… https://t.co/QUdn5aNMMU"
"181" 2019-01-27 -0.390625 "CA" "hannah b is a jealous mean girl. leave @caelynnmk alone! #TheBachelor #TeamCaelynn"
"182" 2019-01-28 -0.5 "MN" "#thebachelor which is the fake one"
"183" 2019-01-29 0 "TX" "@demi_burnett Wine"
"184" 2019-01-29 0 "CA" "@libbydearborn @demi_burnett No you don’t"
"185" 2019-01-29 0.418181818181818 "NC" "new #thebachelor pod up with @BpopeTV @EmilyGiangreco. ep so good one of the ladies posted a clip to her ig story 😈… https://t.co/3iD5fNXq3y"
"186" 2019-01-29 -0.333333333333333 "NY" "@demi_burnett is seriously my mood all 2019 ❤️❤️ https://t.co/MGXxMYIynq"
"187" 2019-01-29 0.1 "MA" "#TheBachelor - wow. I felt that @caelynnmk , thank you for telling your story. I wish I had some of your bravery. T… https://t.co/FXFn6a0vH0"
"188" 2019-01-29 0.05 "GA" "hannah b is full of shit and it’s so obvious #thebachelor"
"189" 2019-01-29 -0.4 "TX" "ALL THIS @demi_burnett HATE ON LAST NIGHTs ePISODE IS NOT IT"
"190" 2019-01-29 0.6 "GA" "colton know damn well he don’t need to be giving hannah b no damn rose. 🙄🙄🙄 #thebachelor"
"191" 2019-01-29 -0.5 "VA" ". @caelynnmk I’m so sorry about what happened to u &amp; feel for u but question.. why not use ur experience as a platf… https://t.co/UQN7f2M4Py"
"192" 2019-01-29 0.170454545454545 "NY" "Episode 3 is live now featuring Alex Blumberg the co-founder of @Gimletmedia ! Link in bio https://t.co/SSLqKqcAOI"
"193" 2019-01-29 0.9 "OK" "when @CassieRandolph said “but i am so happy for caelynn.” best friend goals https://t.co/5XJk4v4zlt"
"194" 2019-01-29 1 "TX" "Me and @demi_burnett would be best friends and I’m LIVING for her"
"195" 2019-01-29 1 "CA" "Very brave of @caelynnmk"
"196" 2019-01-29 -0.1875 "MN" "courtney is so dumb. don’t you DARE come for demi. the only person irrational here is YOU. demi came for COLTON not for you!!! #thebachelor"
"197" 2019-01-29 0.35 "MN" "colton just really makes me believe in love. #thebachelor"
"198" 2019-01-29 0.5 "NH" "@demi_burnett and we love you for it"
"199" 2019-01-29 0.45 "CA" "Okay hi @bachelorabc @TayshiaAdams rockin our OBSESSIONS TURTLENECK ⚡️ available now〰️ @ GypsyQueen https://t.co/490rgTzOla"
"200" 2019-01-29 0 "TX" "Catchin Zaria up on #thebachelor #shesacoltonfan #icreatedamonster"
"201" 2019-01-29 0.5 "OH" "ok @caelynnmk is literal perfection 🤩🤩"
"202" 2019-01-29 0.125 "CA" "I’m not usually a fan of Colton’s but the way he talked to Caelynn was one of the sweetest things I’ve seen this season  #thebachelor"
"203" 2019-01-29 0 "CA" "Watching the preview for next week  me: “Is it the wall??” #thebachelor https://t.co/EaauUuPveR"
"204" 2019-01-29 0.75 "NC" "ok but i NEED to find out what hair products @demi_burnett uses bc that is the best head of hair i’ve ever seen"
"205" 2019-01-29 0.25 "MN" "caelynn just seems so soft and genuine. i like her. #thebachelor"
"206" 2019-01-29 0.2 "MN" "caelynn and hannah b. could be so much stronger together.  #thebachelor"
"207" 2019-01-29 0.266666666666667 "CA" "@caelynnmk is literally so strong I could never imagine wow :’( #TheBachelor"
"208" 2019-01-29 -0.3 "MN" "BYEEE COURTNEY AND TRACY!!!!! my least favorites. #thebachelor"
"209" 2019-01-29 0.8 "TX" "man I truly respect how Demi just owns her actions and means what she says lol #thebachelor"
"210" 2019-01-29 0.7 "TX" "@demi_burnett omfg a queen we stan btw loved you ln ❤️"
"211" 2019-01-30 0 "OR" "@demi_burnett https://t.co/52UCUmlTf9"
"212" 2019-01-30 -0.291666666666667 "KY" "I am shipping @demi_burnett and @realChadJohnson hard. #TheBachelor"
"213" 2019-01-30 0 "OR" "If you watch #thebachelor check out two colleges dudes discussing this week’s episode! 🌹 https://t.co/sXXLhbYBtU"
"214" 2019-01-30 0 "GA" "@demi_burnett I’m here for it!"
"215" 2019-01-30 -0.0357142857142857 "MA" "@meganleemorse @demi_burnett Isn’t that what every single contestant does?

When’s the last time you heard the Bach… https://t.co/XoZRrdMnGO"
"216" 2019-01-30 0 "VA" "@hannahgutierre0 @demi_burnett stop forgetting about me. i’m a gem."
"217" 2019-01-30 0 "NY" "@KirpaSudick 😂 ily"
"218" 2019-01-30 0.5 "TX" "Okay but @demi_burnett how do u feel that Courtney AND Tracy both got eliminated this week??? 🤨"
"219" 2019-01-30 0 "IN" "@demi_burnett we’re all rooting for you"
"220" 2019-01-30 0 "IN" "We Stan @demi_burnett"
"221" 2019-01-30 0.375 "TX" "@demi_burnett is my spirit animal, and I’m pretty sure all my roommates can agree."
"222" 2019-01-30 0.375 "TX" "@demi_burnett is my spirit animal, and I’m pretty sure all my roommates can agree. https://t.co/Xovdzyg5o9"
"223" 2019-01-30 0.316666666666667 "MA" "I still can’t believe that @demi_burnett successfully got Courtney AND Tracy sent home the same night. Absolutely l… https://t.co/1le7TZ1Syo"
"224" 2019-01-30 0 "VA" "@hannahgutierre0 @demi_burnett why bitch you are friends w me."
"225" 2019-01-31 0.43 "NY" "A very real and honest clip from my conversation with Alex Blumberg 👇 https://t.co/YewIrUdq9B"
"226" 2019-01-31 -0.6 "CA" "@SydneyLotuaco pancit and chicken adobo are some of my faves 😁"
"227" 2019-01-31 0 "TX" "I got Cassie! https://t.co/8xFqWcSDAA yessss she’s my fav! been rooting for you from the start girl! @CassieRandolph"
"228" 2019-02-01 0 "OR" "@thereidfeed @demi_burnett Saying goodbye to the toxicity in 2019 like https://t.co/QQekLGPrJn"
"229" 2019-02-01 0 "CA" "Tayshia for #TheBachelorette !!!! 🌹 #thebachelor"
"230" 2019-02-01 0 "FL" "@TayshiaAdams 😂🏆"
"231" 2019-02-02 0.5 "FL" "I dno about ya’ll but @demi_burnett is now my favorite person on TV."
